Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa
04518,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4360,09/2018,RIO DE JANEIRO/RJ,IBOPE
04519,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4361,09/2018,RIO DE JANEIRO/RJ,IBOPE
04520,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4362,09/2018,RIO DE JANEIRO/RJ,IBOPE
04521,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4363,09/2018,RIO DE JANEIRO/RJ,IBOPE
04522,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4364,10/2018,RIO DE JANEIRO/RJ,IBOPE
04523,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4365,10/2018,RIO DE JANEIRO/RJ,IBOPE
04524,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4366,10/2018,RIO DE JANEIRO,IBOPE
04525,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RJ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4367,10/2018,RIO DE JANEIRO/RJ,IBOPE
04526,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RN,https://www.cesop.unicamp.br/por/banco_de_dados/v/4368,08/2018,RIO GRANDE DO NORTE,IBOPE
04527,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RN,https://www.cesop.unicamp.br/por/banco_de_dados/v/4369,09/2018,RIO GRANDE DO NORTE,IBOPE
04528,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RN,https://www.cesop.unicamp.br/por/banco_de_dados/v/4370,10/2018,RIO GRANDE DO NORTE,IBOPE
04529,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RN,https://www.cesop.unicamp.br/por/banco_de_dados/v/4371,10/2018,RIO GRANDE DO NORTE,IBOPE
04530,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RN,https://www.cesop.unicamp.br/por/banco_de_dados/v/4372,10/2018,RIO GRANDE DO NORTE,IBOPE
04531,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ RS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4374,08/2018,RIO GRANDE DO SUL,IBOPE
04672,AVALIAÇÃO DO GOVERNO FEDERAL E ACESSO À INFORMAÇÃO (SEMANA 03),https://www.cesop.unicamp.br/por/banco_de_dados/v/4517,07/2015,BRASIL,IBOPE
04673,AVALIAÇÃO DO GOVERNO FEDERAL E ACESSO À INFORMAÇÃO (SEMANA 04),https://www.cesop.unicamp.br/por/banco_de_dados/v/4518,07/2015,BRASIL,IBOPE
04674,AVALIAÇÃO DO GOVERNO FEDERAL E ACESSO À INFORMAÇÃO (SEMANA 02),https://www.cesop.unicamp.br/por/banco_de_dados/v/4519,08/2015,BRASIL,IBOPE
04675,AVALIAÇÃO DO GOVERNO FEDERAL E ACESSO À INFORMAÇÃO (SEMANA 03),https://www.cesop.unicamp.br/por/banco_de_dados/v/4520,08/2015,BRASIL,IBOPE
04676,AVALIAÇÃO DO GOVERNO FEDERAL E ACESSO À INFORMAÇÃO (SEMANA 05),https://www.cesop.unicamp.br/por/banco_de_dados/v/4521,08/2015,BRASIL,IBOPE
04677,AVALIAÇÃO DO GOVERNO FEDERAL E EQUILÍBRIO FISCAL (SEMANA 01),https://www.cesop.unicamp.br/por/banco_de_dados/v/4522,09/2015,BRASIL,IBOPE
04678,AVALIAÇÃO DO GOVERNO FEDERAL E EQUILÍBRIO FISCAL (SEMANA 02),https://www.cesop.unicamp.br/por/banco_de_dados/v/4523,09/2015,BRASIL,IBOPE
04679,AVALIAÇÃO DO GOVERNO FEDERAL E EQUILÍBRIO FISCAL (SEMANA 03),https://www.cesop.unicamp.br/por/banco_de_dados/v/4524,09/2015,BRASIL,IBOPE
04680,AVALIAÇÃO DO GOVERNO FEDERAL E CRISE POLÍTICA (SEMANA 01),https://www.cesop.unicamp.br/por/banco_de_dados/v/4525,10/2015,BRASIL,IBOPE
04681,AVALIAÇÃO DO GOVERNO FEDERAL E CRISE POLÍTICA (SEMANA 04),https://www.cesop.unicamp.br/por/banco_de_dados/v/4526,10/2015,BRASIL,IBOPE
04682,CONJUNTURA E AVALIAÇÃO NACIONAL I,https://www.cesop.unicamp.br/por/banco_de_dados/v/4527,10/2015,BRASIL,IBOPE
04683,CONJUNTURA E AVALIAÇÃO NACIONAL II,https://www.cesop.unicamp.br/por/banco_de_dados/v/4528,12/2015,BRASIL,IBOPE
04684,AVALIAÇÃO DO GOVERNO FEDERAL E INSTITUIÇÕES (SEMANA 01),https://www.cesop.unicamp.br/por/banco_de_dados/v/4529,11/2015,BRASIL,IBOPE
