IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
28.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,6.0,7.0,,,,,4.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,99.0,,,1.0,1.0,2.0,2.0,3.0,19.0,4.0,3.0,8.0,4.0,2.0,0.34724042974417685,155646838.0
39.0,3.0,2.0,16.0,1.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,1.0,16.0,4.0,3.0,7.0,4.0,2.0,1.230487619642375,155648613.0
33.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,0.16189367663680562,155649540.0
42.0,3.0,2.0,16.0,1.0,4.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,,,,,,6.0,,,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,3.0,6.0,3.0,3.0,1.0,99.0,1.0,19.0,99.0,99.0,7.0,4.0,2.0,1.230487619642375,155649541.0
55.0,5.0,2.0,14.0,1.0,4.0,99.0,99.0,99.0,2.0,99.0,99.0,99.0,99.0,5.0,2.0,7.0,1.0,2.0,3.0,,,,,2.0,,,1.0,99.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,3.0,99.0,99.0,99.0,99.0,1.0,18.0,5.0,4.0,6.0,4.0,2.0,0.8098713921518527,155651028.0
38.0,3.0,2.0,9.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,,1.0,4.0,,,,,,2.0,5.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,6.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,6.0,4.0,2.0,1.0810292567265112,155651089.0
39.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,4.0,8.0,5.0,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,99.0,99.0,3.0,19.0,1.0,1.0,3.0,4.0,2.0,0.7382869169790934,155652169.0
48.0,4.0,1.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,2.0,1.0,3.0,6.0,,,,,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,0.6046564122556904,155652266.0
30.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,7.0,1.0,6.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,1.0,2.0,1.0,2.0,16.0,5.0,4.0,2.0,4.0,2.0,0.3120180692883028,155652635.0
55.0,5.0,2.0,9.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,7.0,,2.0,4.0,,,,,,4.0,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,6.0,4.0,2.0,1.5862801983301043,155652957.0
22.0,1.0,1.0,11.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,,5.0,,,,,,,6.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,3.0,3.0,1.0,3.0,2.0,18.0,6.0,6.0,1.0,4.0,1.0,0.37972918026842317,155653297.0
64.0,5.0,2.0,15.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,99.0,1.0,1.0,8.0,2.0,4.0,1.0,6.0,7.0,,,,,6.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,2.0,1.8888062247178632,155653425.0
