IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
21.0,1.0,14.0,1.0,4.0,8.0,99.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,10.0,8.0,1.0,3.0,9.0,,,,,,,,,,,,3.0,4.0,5.0,1.0,1.0,2.0,3.0,20.0,5.0,4.0,7.0,4.0,2.0,1.8690432858627686
31.0,1.0,16.0,1.0,4.0,7.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,9.0,8.0,11.0,1.0,3.0,5.0,,,,,,,,,,,,99.0,1.0,2.0,6.0,1.0,2.0,3.0,20.0,5.0,99.0,1.0,4.0,2.0,0.4381159899515668
24.0,2.0,10.0,1.0,6.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,7.0,2.0,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,1.0,1.0,3.0,20.0,5.0,5.0,2.0,4.0,1.0,0.41905422402842574
59.0,1.0,16.0,2.0,4.0,1.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,3.0,20.0,6.0,6.0,1.0,4.0,1.0,0.31486674561864575
23.0,1.0,14.0,2.0,5.0,10.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,1.0,,,,,,,,,,,,,,3.0,4.0,6.0,1.0,2.0,2.0,2.0,20.0,6.0,6.0,8.0,4.0,2.0,1.1701892970122985
59.0,1.0,16.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,9.0,1.0,2.0,7.0,8.0,9.0,10.0,13.0,,,,,,,,3.0,97.0,,,1.0,2.0,2.0,20.0,2.0,2.0,7.0,4.0,2.0,1.3465563374398763
48.0,1.0,16.0,1.0,2.0,10.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,10.0,8.0,1.0,3.0,4.0,10.0,96.0,,,,,,,,,,3.0,1.0,2.0,4.0,1.0,2.0,2.0,20.0,5.0,4.0,7.0,4.0,2.0,1.1969686068286205
18.0,1.0,14.0,2.0,4.0,4.0,2.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,2.0,99.0,,,1.0,2.0,2.0,20.0,98.0,3.0,3.0,4.0,2.0,1.0255758968799917
20.0,1.0,14.0,2.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,9.0,1.0,,,,,,,,,,,,,,3.0,2.0,5.0,1.0,1.0,2.0,2.0,20.0,98.0,6.0,5.0,4.0,2.0,1.5655447497178285
41.0,1.0,8.0,1.0,4.0,8.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,6.0,8.0,11.0,1.0,3.0,5.0,,,,,,,,,,,,3.0,5.0,2.0,1.0,1.0,2.0,2.0,20.0,5.0,4.0,2.0,4.0,2.0,1.641751642088671
