IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
35.0,2.0,16.0,1.0,4.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,4.0,9.0,10.0,,,,,,,,,,,,,3.0,1.0,2.0,4.0,1.0,1.0,1.0,16.0,6.0,5.0,4.0,4.0,2.0,1.3976566858924644
27.0,2.0,14.0,2.0,4.0,10.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,3.0,,,,,,,,,,,,,,1.0,3.0,4.0,2.0,1.0,1.0,1.0,16.0,6.0,5.0,8.0,4.0,2.0,0.7043037983362149
40.0,2.0,14.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,10.0,8.0,97.0,,,,,,,,,,,,,,99.0,2.0,5.0,4.0,1.0,1.0,1.0,16.0,99.0,99.0,6.0,4.0,2.0,0.8027632640876033
31.0,2.0,16.0,2.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,11.0,1.0,10.0,11.0,,,,,,,,,,,,3.0,2.0,4.0,5.0,1.0,1.0,1.0,16.0,99.0,99.0,2.0,4.0,2.0,0.7063479372885978
46.0,2.0,16.0,1.0,4.0,5.0,99.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,9.0,8.0,11.0,10.0,,,,,,,,,,,,,,1.0,1.0,3.0,5.0,1.0,1.0,1.0,16.0,4.0,4.0,4.0,4.0,2.0,1.0635029315196578
62.0,2.0,16.0,2.0,2.0,7.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,1.0,11.0,5.0,10.0,12.0,13.0,,,,,,,,,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,16.0,98.0,3.0,5.0,4.0,2.0,1.7884192819471392
63.0,2.0,14.0,1.0,4.0,6.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,1.0,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,16.0,4.0,4.0,8.0,4.0,2.0,0.8747295019357691
41.0,2.0,14.0,2.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,5.0,6.0,9.0,10.0,11.0,13.0,,,,,,3.0,1.0,3.0,4.0,1.0,1.0,1.0,16.0,6.0,6.0,2.0,4.0,2.0,0.6180396263263662
38.0,1.0,16.0,1.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,10.0,9.0,3.0,4.0,,,,,,,,,,,,,3.0,2.0,1.0,4.0,1.0,2.0,1.0,16.0,4.0,4.0,8.0,4.0,2.0,0.8150472140067643
62.0,1.0,16.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,97.0,,,5.0,6.0,7.0,8.0,12.0,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,16.0,3.0,1.0,6.0,4.0,2.0,0.7867935572035899
59.0,2.0,15.0,1.0,4.0,99.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,10.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,16.0,98.0,6.0,8.0,4.0,2.0,0.8493723179437015
44.0,2.0,16.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,11.0,8.0,1.0,11.0,,,,,,,,,,,,,,3.0,1.0,3.0,5.0,1.0,1.0,1.0,16.0,99.0,2.0,8.0,4.0,2.0,0.8931603033258801
37.0,2.0,14.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,6.0,3.0,11.0,1.0,,,,,,,,,,,,,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,16.0,98.0,99.0,5.0,4.0,2.0,0.8905830826183102
25.0,1.0,14.0,1.0,5.0,10.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,10.0,1.0,3.0,7.0,,,,,,,,,,,,3.0,1.0,6.0,2.0,3.0,2.0,3.0,15.0,6.0,6.0,5.0,4.0,2.0,1.3877373124971448
18.0,2.0,14.0,2.0,4.0,6.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,9.0,1.0,3.0,5.0,10.0,13.0,,,,,,,,,,3.0,2.0,4.0,5.0,3.0,1.0,3.0,15.0,98.0,6.0,5.0,4.0,2.0,1.072996635316242
42.0,2.0,10.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,6.0,1.0,5.0,,,,,,,,,,,,,,99.0,99.0,,,2.0,99.0,3.0,15.0,6.0,6.0,5.0,4.0,2.0,1.9150872457045804
56.0,2.0,16.0,1.0,3.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,3.0,11.0,1.0,,,,,,,,,,,,,,3.0,1.0,2.0,3.0,1.0,1.0,3.0,15.0,3.0,3.0,7.0,4.0,2.0,2.050395591126415
37.0,1.0,15.0,1.0,4.0,9.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,1.0,3.0,1.0,8.0,9.0,,,,,,,,,,,,3.0,2.0,4.0,1.0,1.0,2.0,3.0,15.0,6.0,5.0,3.0,4.0,2.0,0.5991943923336189
60.0,2.0,16.0,1.0,3.0,7.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,6.0,11.0,3.0,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,15.0,4.0,3.0,8.0,4.0,2.0,0.8147226010591
47.0,2.0,15.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,11.0,2.0,8.0,1.0,3.0,5.0,9.0,10.0,13.0,,,,,,,,,1.0,6.0,4.0,3.0,1.0,1.0,3.0,15.0,6.0,4.0,2.0,4.0,2.0,0.7596957700852726
55.0,2.0,14.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,3.0,3.0,,,,,,,,,,,,,,1.0,5.0,3.0,4.0,1.0,1.0,3.0,15.0,98.0,99.0,2.0,4.0,2.0,1.9351236702708894
36.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,11.0,1.0,1.0,2.0,4.0,5.0,,,,,,,,,,,1.0,5.0,3.0,1.0,1.0,99.0,3.0,15.0,5.0,3.0,7.0,4.0,2.0,1.1845960414214447
19.0,2.0,14.0,1.0,5.0,10.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,3.0,5.0,10.0,,,,,,,,,,,3.0,2.0,4.0,6.0,1.0,1.0,3.0,15.0,6.0,5.0,1.0,4.0,1.0,0.24075812065827096
43.0,2.0,11.0,2.0,5.0,10.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,6.0,9.0,1.0,5.0,7.0,,,,,,,,,,,,,3.0,2.0,,,1.0,1.0,3.0,15.0,98.0,6.0,8.0,4.0,1.0,0.9304972215902889
57.0,2.0,9.0,1.0,5.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,6.0,8.0,4.0,5.0,11.0,12.0,,,,,,,,,,,3.0,5.0,1.0,3.0,1.0,1.0,3.0,15.0,6.0,5.0,2.0,4.0,1.0,1.159808982664835
20.0,2.0,12.0,2.0,5.0,1.0,3.0,1.0,1.0,99.0,4.0,99.0,2.0,99.0,2.0,2.0,4.0,5.0,3.0,11.0,,,,,,,,,,,,,,3.0,1.0,5.0,2.0,99.0,1.0,2.0,15.0,99.0,99.0,7.0,4.0,2.0,0.9850040515739542
65.0,1.0,11.0,2.0,5.0,10.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,97.0,,,97.0,,,,,,,,,,,,,,3.0,1.0,4.0,5.0,99.0,99.0,2.0,15.0,6.0,6.0,3.0,4.0,1.0,0.4121184789848659
45.0,1.0,11.0,1.0,5.0,5.0,2.0,3.0,99.0,99.0,2.0,99.0,2.0,99.0,99.0,2.0,3.0,1.0,10.0,10.0,,,,,,,,,,,,,,3.0,1.0,6.0,3.0,1.0,2.0,2.0,15.0,5.0,5.0,1.0,4.0,1.0,0.4206181005450551
49.0,1.0,15.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,1.0,99.0,,,99.0,2.0,1.0,15.0,2.0,2.0,7.0,4.0,2.0,1.1969686068286205
67.0,1.0,15.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,8.0,7.0,1.0,2.0,3.0,4.0,,,,,,,,,,,99.0,1.0,2.0,6.0,3.0,2.0,1.0,15.0,4.0,99.0,3.0,4.0,2.0,0.303432146628623
50.0,1.0,16.0,1.0,4.0,6.0,99.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,11.0,1.0,2.0,3.0,11.0,,,,,,,,,,,1.0,6.0,5.0,4.0,2.0,2.0,1.0,15.0,4.0,4.0,4.0,4.0,2.0,1.7053560351747423
55.0,1.0,14.0,1.0,3.0,8.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,8.0,6.0,1.0,3.0,6.0,7.0,8.0,9.0,,,,,,,,,3.0,3.0,2.0,1.0,2.0,96.0,1.0,15.0,3.0,3.0,2.0,4.0,2.0,0.3131105732833272
59.0,1.0,16.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,10.0,1.0,1.0,3.0,5.0,11.0,,,,,,,,,,,3.0,5.0,6.0,2.0,1.0,2.0,1.0,15.0,3.0,2.0,1.0,4.0,2.0,0.3518806043781524
59.0,1.0,15.0,1.0,3.0,6.0,99.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,10.0,1.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,1.0,15.0,99.0,99.0,4.0,4.0,2.0,1.689717788350806
61.0,2.0,16.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,3.0,1.0,1.0,,,,,,,,,,,,,,3.0,4.0,1.0,3.0,1.0,1.0,1.0,15.0,2.0,2.0,8.0,4.0,2.0,0.9492194674063523
52.0,2.0,16.0,1.0,3.0,2.0,99.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,15.0,99.0,4.0,2.0,4.0,2.0,0.6188810313912917
39.0,2.0,16.0,2.0,4.0,5.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,6.0,1.0,5.0,1.0,5.0,6.0,,,,,,,,,,,,1.0,4.0,6.0,1.0,1.0,1.0,1.0,15.0,4.0,4.0,4.0,4.0,2.0,1.011821227257599
63.0,1.0,16.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,11.0,99.0,,,,,,,,,,,,,,3.0,2.0,5.0,,1.0,3.0,1.0,15.0,99.0,99.0,3.0,4.0,2.0,0.303432146628623
64.0,2.0,14.0,1.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,99.0,99.0,,,1.0,,,,,,,,,,,,,,3.0,6.0,3.0,2.0,1.0,1.0,1.0,15.0,5.0,5.0,3.0,4.0,2.0,0.8828374382401056
54.0,1.0,14.0,2.0,3.0,99.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,15.0,99.0,99.0,4.0,4.0,2.0,0.5669829180555003
33.0,2.0,15.0,1.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,11.0,8.0,3.0,,,,,,,,,,,,,,99.0,6.0,2.0,4.0,1.0,1.0,1.0,15.0,5.0,5.0,2.0,4.0,2.0,0.6845067909188847
33.0,2.0,15.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,3.0,,,,,,,,,,,,,,3.0,1.0,4.0,3.0,1.0,1.0,1.0,15.0,5.0,4.0,6.0,4.0,2.0,1.5941956247472409
39.0,1.0,16.0,1.0,1.0,7.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,5.0,1.0,97.0,,,,,,,,,,,,,,3.0,3.0,1.0,4.0,1.0,2.0,1.0,15.0,3.0,2.0,1.0,4.0,2.0,0.18365860672793982
66.0,2.0,14.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,6.0,9.0,2.0,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,15.0,5.0,3.0,8.0,4.0,2.0,0.9076514220978463
57.0,2.0,14.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,1.0,3.0,,,,,,,,,,,,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,15.0,4.0,4.0,7.0,4.0,2.0,1.8627453787816515
59.0,2.0,16.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,15.0,3.0,3.0,6.0,4.0,2.0,1.494361125561761
56.0,2.0,16.0,2.0,2.0,10.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,6.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,3.0,1.0,2.0,5.0,1.0,1.0,1.0,15.0,5.0,4.0,6.0,4.0,2.0,1.494361125561761
52.0,2.0,16.0,1.0,1.0,4.0,99.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,1.0,3.0,10.0,,,,,,,,,,,,,,3.0,2.0,4.0,,1.0,1.0,1.0,15.0,3.0,3.0,1.0,4.0,2.0,0.2800032106691019
57.0,2.0,16.0,1.0,4.0,6.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,15.0,99.0,99.0,4.0,4.0,2.0,2.565785917968333
68.0,2.0,15.0,2.0,3.0,10.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,6.0,5.0,,,,,,,,,,,,,,3.0,2.0,5.0,6.0,1.0,1.0,1.0,15.0,98.0,4.0,1.0,4.0,2.0,0.5460972044322688
59.0,1.0,16.0,1.0,3.0,6.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,1.0,2.0,3.0,4.0,10.0,,,,,,,,,,,,3.0,4.0,2.0,1.0,1.0,2.0,1.0,15.0,5.0,5.0,8.0,4.0,2.0,0.8609419020027168
52.0,2.0,16.0,1.0,4.0,9.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,11.0,2.0,1.0,,,,,,,,,,,,,,3.0,1.0,3.0,5.0,1.0,1.0,1.0,15.0,5.0,4.0,6.0,4.0,2.0,1.2882477427601142
43.0,2.0,16.0,1.0,2.0,10.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,11.0,4.0,10.0,1.0,2.0,3.0,5.0,7.0,,,,,,,,,,3.0,1.0,4.0,3.0,1.0,1.0,1.0,15.0,4.0,3.0,1.0,4.0,2.0,0.21659987846690806
35.0,2.0,16.0,1.0,5.0,10.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,9.0,10.0,,,,,,,,,,,,,3.0,4.0,6.0,1.0,1.0,1.0,1.0,15.0,6.0,99.0,8.0,4.0,2.0,0.8160456862022347
55.0,2.0,12.0,2.0,4.0,7.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,6.0,10.0,5.0,7.0,10.0,,,,,,,,,,,,3.0,6.0,1.0,3.0,1.0,1.0,1.0,15.0,99.0,99.0,7.0,4.0,2.0,1.8627453787816515
37.0,2.0,13.0,1.0,5.0,10.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,,5.0,10.0,,,,,,,,,,,,,3.0,2.0,1.0,6.0,1.0,1.0,1.0,15.0,99.0,99.0,7.0,4.0,2.0,0.8975868456997729
45.0,2.0,16.0,1.0,1.0,7.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,,1.0,3.0,11.0,96.0,,,,,,,,,,,3.0,1.0,4.0,2.0,1.0,1.0,1.0,15.0,1.0,1.0,8.0,4.0,2.0,0.7510753763515532
45.0,1.0,14.0,1.0,3.0,7.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,9.0,10.0,1.0,5.0,7.0,10.0,,,,,,,,,,,3.0,1.0,3.0,2.0,1.0,96.0,1.0,15.0,5.0,4.0,7.0,4.0,2.0,1.1287953202922736
54.0,2.0,14.0,1.0,3.0,6.0,99.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,3.0,4.0,96.0,,,,,,,,,,,,99.0,1.0,4.0,6.0,1.0,1.0,1.0,15.0,4.0,4.0,2.0,4.0,2.0,0.566315105755171
54.0,2.0,14.0,1.0,3.0,8.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,99.0,2.0,1.0,8.0,3.0,1.0,3.0,5.0,10.0,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,15.0,6.0,4.0,3.0,4.0,2.0,0.6971603668281379
24.0,2.0,14.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,3.0,4.0,5.0,7.0,11.0,,,,,,,,,3.0,2.0,1.0,4.0,1.0,1.0,1.0,15.0,99.0,99.0,2.0,4.0,2.0,0.6593166884544929
21.0,2.0,8.0,2.0,6.0,99.0,2.0,3.0,2.0,99.0,3.0,99.0,2.0,3.0,3.0,4.0,99.0,,,96.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,15.0,98.0,6.0,1.0,4.0,1.0,0.11043576859231741
61.0,2.0,16.0,2.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,10.0,11.0,6.0,,,,,,,,,,,,,,3.0,1.0,6.0,2.0,1.0,1.0,3.0,14.0,6.0,6.0,1.0,4.0,2.0,0.5460972044322688
71.0,2.0,16.0,1.0,1.0,10.0,99.0,1.0,2.0,4.0,99.0,2.0,4.0,2.0,4.0,4.0,11.0,9.0,1.0,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,14.0,4.0,3.0,8.0,4.0,2.0,0.9492194674063523
35.0,2.0,16.0,1.0,4.0,10.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,14.0,4.0,4.0,2.0,4.0,2.0,0.6545222684376989
63.0,1.0,16.0,1.0,1.0,6.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,97.0,,,,,,,,,,,,,,3.0,1.0,2.0,5.0,1.0,2.0,1.0,14.0,99.0,99.0,8.0,4.0,2.0,1.0030687900697501
58.0,2.0,16.0,1.0,3.0,7.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,9.0,1.0,3.0,5.0,,,,,,,,,,,,3.0,3.0,4.0,2.0,1.0,1.0,1.0,14.0,5.0,3.0,8.0,4.0,2.0,0.8147226010591
24.0,2.0,11.0,1.0,5.0,99.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,2.0,13.0,6.0,6.0,6.0,4.0,2.0,0.7986615978683009
43.0,1.0,14.0,1.0,3.0,8.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,97.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,13.0,4.0,4.0,1.0,4.0,2.0,0.3991508989015853
31.0,1.0,14.0,1.0,3.0,8.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,3.0,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,1.0,13.0,6.0,5.0,3.0,4.0,2.0,1.7929217505232065
33.0,1.0,1.0,2.0,5.0,99.0,99.0,99.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,12.0,98.0,99.0,5.0,4.0,2.0,0.6468812868185562
57.0,1.0,7.0,1.0,5.0,8.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,,,,,,,,,,,,,,2.0,6.0,2.0,3.0,3.0,2.0,3.0,12.0,6.0,6.0,7.0,4.0,1.0,0.7090754009094351
39.0,2.0,14.0,2.0,4.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,2.0,9.0,1.0,5.0,12.0,,,,,,,,,,,,3.0,1.0,4.0,2.0,1.0,1.0,2.0,12.0,98.0,6.0,7.0,4.0,2.0,0.7965170658362727
50.0,1.0,14.0,1.0,3.0,99.0,2.0,2.0,99.0,99.0,99.0,4.0,99.0,99.0,99.0,99.0,10.0,3.0,9.0,97.0,,,,,,,,,,,,,,2.0,99.0,,,1.0,2.0,1.0,12.0,99.0,4.0,7.0,4.0,2.0,1.1287953202922736
56.0,1.0,8.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97.0,,,5.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,1.0,12.0,5.0,4.0,5.0,4.0,2.0,0.8326675235902198
21.0,2.0,15.0,1.0,5.0,8.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,10.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,2.0,5.0,2.0,4.0,1.0,1.0,1.0,12.0,6.0,5.0,2.0,4.0,2.0,0.6583065181622435
23.0,2.0,14.0,2.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,9.0,1.0,3.0,,,,,,,,,,,,,,3.0,2.0,4.0,3.0,1.0,1.0,1.0,12.0,98.0,5.0,3.0,4.0,2.0,0.38609151439545036
40.0,2.0,14.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,9.0,10.0,11.0,3.0,5.0,,,,,,,,,,,,,3.0,2.0,,,1.0,1.0,1.0,12.0,5.0,5.0,5.0,4.0,2.0,1.016196556259727
60.0,1.0,14.0,2.0,3.0,8.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,1.0,10.0,2.0,,,,,,,,,,,,,,3.0,2.0,6.0,4.0,1.0,2.0,1.0,12.0,5.0,5.0,3.0,4.0,2.0,0.5703929344086831
56.0,2.0,11.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,99.0,,,5.0,10.0,,,,,,,,,,,,,3.0,6.0,2.0,,1.0,1.0,1.0,12.0,6.0,4.0,2.0,4.0,1.0,1.159808982664835
33.0,2.0,16.0,1.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,6.0,9.0,10.0,1.0,7.0,8.0,,,,,,,,,,,,3.0,4.0,2.0,1.0,1.0,1.0,4.0,11.0,5.0,5.0,2.0,4.0,2.0,0.6845067909188847
41.0,1.0,12.0,2.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,11.0,99.0,99.0,3.0,4.0,2.0,0.4743619008692915
18.0,2.0,11.0,1.0,6.0,10.0,3.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,10.0,3.0,3.0,4.0,,,,,,,,,,,,,3.0,99.0,,,3.0,1.0,3.0,11.0,6.0,5.0,3.0,4.0,1.0,0.5139813953794653
29.0,2.0,14.0,1.0,4.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,11.0,11.0,,,,,,,,,,,,,,3.0,6.0,1.0,4.0,1.0,1.0,3.0,11.0,6.0,6.0,7.0,4.0,2.0,1.0660763667801703
28.0,2.0,16.0,1.0,4.0,10.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,1.0,1.0,3.0,5.0,6.0,10.0,13.0,,,,,,,,,3.0,6.0,1.0,4.0,1.0,1.0,3.0,11.0,5.0,5.0,3.0,4.0,2.0,0.7975453840626782
38.0,1.0,11.0,2.0,6.0,6.0,99.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,6.0,5.0,8.0,,,,,,,,,,,,,3.0,2.0,1.0,5.0,1.0,2.0,3.0,11.0,99.0,99.0,3.0,4.0,2.0,0.38157750474497176
48.0,2.0,14.0,1.0,4.0,1.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,6.0,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,3.0,11.0,6.0,6.0,2.0,4.0,2.0,0.5904001845984271
33.0,2.0,16.0,1.0,2.0,9.0,1.0,2.0,4.0,4.0,4.0,4.0,99.0,99.0,4.0,4.0,9.0,2.0,6.0,1.0,,,,,,,,,,,,,,1.0,5.0,6.0,3.0,1.0,1.0,3.0,11.0,3.0,4.0,1.0,4.0,2.0,0.17434562397403658
38.0,2.0,15.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,9.0,1.0,3.0,1.0,3.0,5.0,10.0,13.0,,,,,,,,,,3.0,2.0,1.0,5.0,1.0,1.0,3.0,11.0,6.0,4.0,8.0,4.0,2.0,0.8931603033258801
