IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4_1,P4_2,P4_3,P5,P6A,P6B,P6C,P6D,P6E,P6F,P6G,P7_1,P7_2,P7_3,P8A,P8B,P8C,P8D,P8E,P8F,P8G,P9_1,P9_2,P9_3,P10,P11A,P11B,P11C,P11D,P11E,RAÇA_COR,RELIGIAO,REND1,REND2,TIPO_COLETA,AMOSTRA,REGIAO,FATOR_POND,ID
62.0,2.0,11.0,2.0,3.0,2.0,1.0,1.0,2.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,98.0,3.0,1.0,1.0,1.0,1.0,2.0,16.0,5.0,99.0,4.0,2.0,3.0,1.029155261594271,150228176.0
63.0,1.0,15.0,2.0,4.0,2.0,98.0,3.0,4.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,98.0,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,4.0,2.0,4.0,99.0,4.0,2.0,1.0,1.0,19.0,6.0,6.0,4.0,2.0,7.0,1.2605351544017587,150228227.0
59.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,98.0,99.0,4.0,1.0,2.0,1.0,1.0,19.0,4.0,4.0,4.0,2.0,1.0,0.21372595453544366,150228282.0
61.0,2.0,16.0,1.0,1.0,2.0,1.0,1.0,5.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,15.0,2.0,2.0,4.0,2.0,8.0,0.9492194674063523,150228329.0
33.0,1.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,8.0,0.752708724181372,150228511.0
39.0,2.0,14.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,10.0,5.0,4.0,4.0,2.0,5.0,0.7595273108563374,150228773.0
45.0,2.0,15.0,1.0,4.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,6.0,98.0,2.0,1.0,1.0,1.0,1.0,1.0,18.0,99.0,99.0,4.0,2.0,3.0,1.1633542532318344,150228795.0
23.0,1.0,14.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,6.0,6.0,4.0,2.0,8.0,1.1701892970122985,150228953.0
71.0,2.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,4.0,98.0,2.0,1.0,2.0,1.0,1.0,1.0,14.0,4.0,3.0,4.0,2.0,8.0,0.9492194674063523,150229059.0
63.0,1.0,16.0,2.0,3.0,2.0,2.0,2.0,1.0,9.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,8.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,8.0,0.7887308802164475,150230565.0
51.0,2.0,16.0,1.0,2.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,7.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,99.0,99.0,4.0,2.0,7.0,1.5150900366002078,150232076.0
50.0,1.0,16.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,15.0,4.0,4.0,4.0,2.0,4.0,1.7053560351747423,150232266.0
52.0,2.0,16.0,1.0,3.0,2.0,1.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,99.0,4.0,4.0,2.0,2.0,0.6188810313912917,150232549.0
