IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
23.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,2.0,2.0,13.0,6.0,1.0,3.0,3.0,3.0,1.387702734900075,185716224.0
43.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,96.0,3.0,96.0,1.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,5.0,5.0,16.0,6.0,1.0,3.0,3.0,3.0,1.0928273983699164,185716226.0
25.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,13.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,4.0,1.0,13.0,6.0,9.0,2.0,3.0,3.0,1.010523122766943,185716247.0
18.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,96.0,1.0,1.0,3.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,6.0,5.0,35.0,3.0,3.0,1.0,3.0,1.0,0.9738135457433078,185716295.0
18.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,5.0,15.0,6.0,99.0,3.0,3.0,2.0,1.4389990198388518,185716317.0
31.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,2.0,1.0,5.0,99.0,99.0,2.0,1.0,2.0,5.0,1.0,99.0,5.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,96.0,1.0,96.0,3.0,2.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,35.0,3.0,5.0,1.0,3.0,2.0,0.7363619089056639,185716318.0
46.0,4.0,2.0,3.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,99.0,5.0,1.0,99.0,1.0,2.0,5.0,1.0,1.0,4.0,3.0,1.0,96.0,1.0,96.0,2.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,1.0,1.0,6.0,7.0,30.0,3.0,4.0,3.0,3.0,1.0,1.143824953269849,185716335.0
24.0,1.0,2.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,9.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,5.0,6.0,17.0,5.0,1.0,2.0,1.0,4.0,1.1132058427144536,185716354.0
26.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,99.0,1.0,1.0,5.0,1.0,1.0,5.0,13.0,1.0,96.0,1.0,96.0,2.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,6.0,7.0,32.0,3.0,3.0,1.0,3.0,1.0,0.9954376684117484,185716373.0
37.0,3.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,22.0,5.0,9.0,3.0,3.0,1.0,1.49586371372299,185716374.0
