IDADE,FX_ID,SEXO,p1,p2,p4,p5,p6,p8,p9a,p9b,p9c,p9d,p10,p11,p12,p13,p14,p15,ESCOLA,RENDAF,nquest
16.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,136.0
29.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,137.0
26.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,1.0,82.0
39.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,138.0
58.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,2.0,4.0,139.0
20.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,1.0,4.0,140.0
32.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,141.0
36.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,142.0
22.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,83.0
40.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,143.0
26.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,8.0,144.0
34.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,2.0,6.0,84.0
27.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,6.0,145.0
57.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,5.0,146.0
45.0,3.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,85.0
25.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,147.0
38.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,6.0,86.0
37.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,148.0
45.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,149.0
20.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,3.0,150.0
36.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,151.0
38.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,7.0,152.0
64.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,153.0
28.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,99.0,6.0,1.0,4.0,87.0
43.0,3.0,2.0,1.0,5.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,88.0
34.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,89.0
